model_name,fold,Accuracy,Precision,Recall,F1,ROC_AUC,Average Precision,Train Time,Dataset
KNN,4,0.9736842105263158,0.9534883720930232,0.9761904761904762,0.9647058823529412,0.9986772486772486,0.9977701354007974,0.4061241149902344,Breast Cancer
KNN,5,0.9646017699115044,1.0,0.9047619047619048,0.95,0.9973172367538566,0.9958436953117804,0.3806607723236084,Breast Cancer
Decision Tree,1,0.8771929824561403,0.7959183673469388,0.9069767441860463,0.8478260869565217,0.9264657713724204,0.8752386248635479,0.5304346084594727,Breast Cancer
Decision Tree,2,0.9473684210526316,0.9743589743589745,0.8837209302325582,0.926829268292683,0.9613494923026532,0.9358135357094964,0.5529613494873047,Breast Cancer
Decision Tree,3,0.9385964912280702,0.9487179487179488,0.8809523809523809,0.9135802469135802,0.9348544973544972,0.8914258256363519,0.492114782333374,Breast Cancer
Decision Tree,4,0.9385964912280702,0.8888888888888888,0.9523809523809524,0.9195402298850576,0.935350529100529,0.8750380624458342,0.4984643459320068,Breast Cancer
Decision Tree,5,0.911504424778761,0.8809523809523809,0.8809523809523809,0.8809523809523809,0.9114688128772636,0.8392535948115487,0.5066726207733154,Breast Cancer
Random Forest,1,0.9824561403508772,0.9555555555555556,1.0,0.9772727272727272,0.998689813298395,0.9979093258163024,12.807538747787476,Breast Cancer
Random Forest,2,0.956140350877193,0.975,0.9069767441860463,0.9397590361445785,0.9788732394366196,0.9790814771325866,12.760513544082642,Breast Cancer
Random Forest,3,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9859457671957672,0.9841471237617854,12.744558095932009,Breast Cancer
Random Forest,4,0.956140350877193,0.8936170212765957,1.0,0.9438202247191012,0.9940476190476192,0.9902433867297364,12.942132949829102,Breast Cancer
Random Forest,5,0.9646017699115044,0.975,0.9285714285714286,0.951219512195122,0.9936284372904092,0.9907347332915036,12.98239803314209,Breast Cancer
